timestamp,architecture,cnn_layers,activation,regularizer,dropout,batch_norm,learning_rate,batch_size,n_epochs,optimizer,loss_function,train_size,dev_size,final_train_loss,final_dev_loss,best_dev_loss,best_epoch,notes
2025-12-01_18-47-46,"Model: ""Modular_1D_CNN_Model""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 conv1d (Conv1D)             (None, 4624, 64)          320       
                                                                 
 batch_normalization (BatchN  (None, 4624, 64)         256       
 ormalization)                                                   
                                                                 
 max_pooling1d (MaxPooling1D  (None, 2312, 64)         0         
 )                                                               
                                                                 
 conv1d_1 (Conv1D)           (None, 2312, 64)          8256      
                                                                 
 batch_normalization_1 (Batc  (None, 2312, 64)         256       
 hNormalization)                                                 
                                                                 
 conv1d_2 (Conv1D)           (None, 2312, 64)          8256      
                                                                 
 batch_normalization_2 (Batc  (None, 2312, 64)         256       
 hNormalization)                                                 
                                                                 
 max_pooling1d_1 (MaxPooling  (None, 1156, 64)         0         
 1D)                                                             
                                                                 
 conv1d_3 (Conv1D)           (None, 1156, 64)          8256      
                                                                 
 batch_normalization_3 (Batc  (None, 1156, 64)         256       
 hNormalization)                                                 
                                                                 
 global_max_pooling1d (Globa  (None, 64)               0         
 lMaxPooling1D)                                                  
                                                                 
 dense (Dense)               (None, 64)                4160      
                                                                 
 dropout (Dropout)           (None, 64)                0         
                                                                 
 output (Dense)              (None, 2)                 130       
                                                                 
=================================================================
Total params: 30,402
Trainable params: 29,890
Non-trainable params: 512
_________________________________________________________________
","[1, 2, 4, 2]",relu,l2,0.2,TRUE,0.001,16,10000,Adam,mean_squared_error,556,80,0.005624,0.021184,0.014422,4767,N/A
2025-12-01_18-47-46,"Model: ""Modular_1D_CNN_Model""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 conv1d (Conv1D)             (None, 4624, 64)          320       
                                                                 
 batch_normalization (BatchN  (None, 4624, 64)         256       
 ormalization)                                                   
                                                                 
 max_pooling1d (MaxPooling1D  (None, 2312, 64)         0         
 )                                                               
                                                                 
 conv1d_1 (Conv1D)           (None, 2312, 64)          8256      
                                                                 
 batch_normalization_1 (Batc  (None, 2312, 64)         256       
 hNormalization)                                                 
                                                                 
 conv1d_2 (Conv1D)           (None, 2312, 64)          8256      
                                                                 
 batch_normalization_2 (Batc  (None, 2312, 64)         256       
 hNormalization)                                                 
                                                                 
 max_pooling1d_1 (MaxPooling  (None, 1156, 64)         0         
 1D)                                                             
                                                                 
 conv1d_3 (Conv1D)           (None, 1156, 64)          8256      
                                                                 
 batch_normalization_3 (Batc  (None, 1156, 64)         256       
 hNormalization)                                                 
                                                                 
 global_max_pooling1d (Globa  (None, 64)               0         
 lMaxPooling1D)                                                  
                                                                 
 dense (Dense)               (None, 64)                4160      
                                                                 
 dropout (Dropout)           (None, 64)                0         
                                                                 
 output (Dense)              (None, 2)                 130       
                                                                 
=================================================================
Total params: 30,402
Trainable params: 29,890
Non-trainable params: 512
_________________________________________________________________
","[1, 2, 4, 2]",relu,l2,0.2,TRUE,0.001,16,10000,Adam,mean_squared_error,556,80,0.005624,0.021184,0.014422,4767,N/A
2025-12-01_19-47-00,"Model: ""Modular_1D_CNN_Model""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 conv1d_4 (Conv1D)           (None, 4624, 64)          320       
                                                                 
 batch_normalization_4 (Batc  (None, 4624, 64)         256       
 hNormalization)                                                 
                                                                 
 max_pooling1d_2 (MaxPooling  (None, 1156, 64)         0         
 1D)                                                             
                                                                 
 conv1d_5 (Conv1D)           (None, 1156, 64)          8256      
                                                                 
 batch_normalization_5 (Batc  (None, 1156, 64)         256       
 hNormalization)                                                 
                                                                 
 conv1d_6 (Conv1D)           (None, 1156, 64)          8256      
                                                                 
 batch_normalization_6 (Batc  (None, 1156, 64)         256       
 hNormalization)                                                 
                                                                 
 max_pooling1d_3 (MaxPooling  (None, 289, 64)          0         
 1D)                                                             
                                                                 
 conv1d_7 (Conv1D)           (None, 289, 64)           8256      
                                                                 
 batch_normalization_7 (Batc  (None, 289, 64)          256       
 hNormalization)                                                 
                                                                 
 global_max_pooling1d_1 (Glo  (None, 64)               0         
 balMaxPooling1D)                                                
                                                                 
 dense_1 (Dense)             (None, 64)                4160      
                                                                 
 dropout_1 (Dropout)         (None, 64)                0         
                                                                 
 output (Dense)              (None, 2)                 130       
                                                                 
=================================================================
Total params: 30,402
Trainable params: 29,890
Non-trainable params: 512
_________________________________________________________________
","[1, 2, 4, 2]",relu,l2,0.2,TRUE,0.001,16,10000,Adam,mean_squared_error,556,80,0.004516,0.011799,0.005553,5380,N/A
2025-12-01_19-47-00,"Model: ""Modular_1D_CNN_Model""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 conv1d_4 (Conv1D)           (None, 4624, 64)          320       
                                                                 
 batch_normalization_4 (Batc  (None, 4624, 64)         256       
 hNormalization)                                                 
                                                                 
 max_pooling1d_2 (MaxPooling  (None, 1156, 64)         0         
 1D)                                                             
                                                                 
 conv1d_5 (Conv1D)           (None, 1156, 64)          8256      
                                                                 
 batch_normalization_5 (Batc  (None, 1156, 64)         256       
 hNormalization)                                                 
                                                                 
 conv1d_6 (Conv1D)           (None, 1156, 64)          8256      
                                                                 
 batch_normalization_6 (Batc  (None, 1156, 64)         256       
 hNormalization)                                                 
                                                                 
 max_pooling1d_3 (MaxPooling  (None, 289, 64)          0         
 1D)                                                             
                                                                 
 conv1d_7 (Conv1D)           (None, 289, 64)           8256      
                                                                 
 batch_normalization_7 (Batc  (None, 289, 64)          256       
 hNormalization)                                                 
                                                                 
 global_max_pooling1d_1 (Glo  (None, 64)               0         
 balMaxPooling1D)                                                
                                                                 
 dense_1 (Dense)             (None, 64)                4160      
                                                                 
 dropout_1 (Dropout)         (None, 64)                0         
                                                                 
 output (Dense)              (None, 2)                 130       
                                                                 
=================================================================
Total params: 30,402
Trainable params: 29,890
Non-trainable params: 512
_________________________________________________________________
","[1, 2, 4, 2]",relu,l2,0.2,TRUE,0.001,16,10000,Adam,mean_squared_error,556,80,0.004516,0.011799,0.005553,5380,N/A
2025-12-01_20-45-08,"Model: ""Modular_1D_CNN_Model""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 conv1d_8 (Conv1D)           (None, 4624, 64)          320       
                                                                 
 batch_normalization_8 (Batc  (None, 4624, 64)         256       
 hNormalization)                                                 
                                                                 
 max_pooling1d_4 (MaxPooling  (None, 578, 64)          0         
 1D)                                                             
                                                                 
 conv1d_9 (Conv1D)           (None, 578, 64)           8256      
                                                                 
 batch_normalization_9 (Batc  (None, 578, 64)          256       
 hNormalization)                                                 
                                                                 
 conv1d_10 (Conv1D)          (None, 578, 64)           8256      
                                                                 
 batch_normalization_10 (Bat  (None, 578, 64)          256       
 chNormalization)                                                
                                                                 
 max_pooling1d_5 (MaxPooling  (None, 72, 64)           0         
 1D)                                                             
                                                                 
 conv1d_11 (Conv1D)          (None, 72, 64)            8256      
                                                                 
 batch_normalization_11 (Bat  (None, 72, 64)           256       
 chNormalization)                                                
                                                                 
 global_max_pooling1d_2 (Glo  (None, 64)               0         
 balMaxPooling1D)                                                
                                                                 
 dense_2 (Dense)             (None, 64)                4160      
                                                                 
 dropout_2 (Dropout)         (None, 64)                0         
                                                                 
 output (Dense)              (None, 2)                 130       
                                                                 
=================================================================
Total params: 30,402
Trainable params: 29,890
Non-trainable params: 512
_________________________________________________________________
","[1, 2, 4, 2]",relu,l2,0.2,TRUE,0.001,16,10000,Adam,mean_squared_error,556,80,0.004444,0.01098,0.005559,5521,N/A
2025-12-01_20-45-08,"Model: ""Modular_1D_CNN_Model""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 conv1d_8 (Conv1D)           (None, 4624, 64)          320       
                                                                 
 batch_normalization_8 (Batc  (None, 4624, 64)         256       
 hNormalization)                                                 
                                                                 
 max_pooling1d_4 (MaxPooling  (None, 578, 64)          0         
 1D)                                                             
                                                                 
 conv1d_9 (Conv1D)           (None, 578, 64)           8256      
                                                                 
 batch_normalization_9 (Batc  (None, 578, 64)          256       
 hNormalization)                                                 
                                                                 
 conv1d_10 (Conv1D)          (None, 578, 64)           8256      
                                                                 
 batch_normalization_10 (Bat  (None, 578, 64)          256       
 chNormalization)                                                
                                                                 
 max_pooling1d_5 (MaxPooling  (None, 72, 64)           0         
 1D)                                                             
                                                                 
 conv1d_11 (Conv1D)          (None, 72, 64)            8256      
                                                                 
 batch_normalization_11 (Bat  (None, 72, 64)           256       
 chNormalization)                                                
                                                                 
 global_max_pooling1d_2 (Glo  (None, 64)               0         
 balMaxPooling1D)                                                
                                                                 
 dense_2 (Dense)             (None, 64)                4160      
                                                                 
 dropout_2 (Dropout)         (None, 64)                0         
                                                                 
 output (Dense)              (None, 2)                 130       
                                                                 
=================================================================
Total params: 30,402
Trainable params: 29,890
Non-trainable params: 512
_________________________________________________________________
","[1, 2, 4, 2]",relu,l2,0.2,TRUE,0.001,16,10000,Adam,mean_squared_error,556,80,0.004444,0.01098,0.005559,5521,N/A
2025-12-02_11-44-17,"Model: ""Modular_1D_CNN_Model""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 conv1d (Conv1D)             (None, 4624, 64)          320       
                                                                 
 batch_normalization (BatchN  (None, 4624, 64)         256       
 ormalization)                                                   
                                                                 
 max_pooling1d (MaxPooling1D  (None, 2312, 64)         0         
 )                                                               
                                                                 
 conv1d_1 (Conv1D)           (None, 2312, 64)          8256      
                                                                 
 batch_normalization_1 (Batc  (None, 2312, 64)         256       
 hNormalization)                                                 
                                                                 
 conv1d_2 (Conv1D)           (None, 2312, 64)          8256      
                                                                 
 batch_normalization_2 (Batc  (None, 2312, 64)         256       
 hNormalization)                                                 
                                                                 
 max_pooling1d_1 (MaxPooling  (None, 1156, 64)         0         
 1D)                                                             
                                                                 
 conv1d_3 (Conv1D)           (None, 1156, 64)          8256      
                                                                 
 batch_normalization_3 (Batc  (None, 1156, 64)         256       
 hNormalization)                                                 
                                                                 
 max_pooling1d_2 (MaxPooling  (None, 578, 64)          0         
 1D)                                                             
                                                                 
 conv1d_4 (Conv1D)           (None, 578, 64)           8256      
                                                                 
 batch_normalization_4 (Batc  (None, 578, 64)          256       
 hNormalization)                                                 
                                                                 
 max_pooling1d_3 (MaxPooling  (None, 289, 64)          0         
 1D)                                                             
                                                                 
 conv1d_5 (Conv1D)           (None, 289, 64)           8256      
                                                                 
 batch_normalization_5 (Batc  (None, 289, 64)          256       
 hNormalization)                                                 
                                                                 
 max_pooling1d_4 (MaxPooling  (None, 144, 64)          0         
 1D)                                                             
                                                                 
 conv1d_6 (Conv1D)           (None, 144, 64)           8256      
                                                                 
 batch_normalization_6 (Batc  (None, 144, 64)          256       
 hNormalization)                                                 
                                                                 
 max_pooling1d_5 (MaxPooling  (None, 72, 64)           0         
 1D)                                                             
                                                                 
 conv1d_7 (Conv1D)           (None, 72, 64)            8256      
                                                                 
 batch_normalization_7 (Batc  (None, 72, 64)           256       
 hNormalization)                                                 
                                                                 
 global_max_pooling1d (Globa  (None, 64)               0         
 lMaxPooling1D)                                                  
                                                                 
 dense (Dense)               (None, 64)                4160      
                                                                 
 dropout (Dropout)           (None, 64)                0         
                                                                 
 output (Dense)              (None, 2)                 130       
                                                                 
=================================================================
Total params: 64,450
Trainable params: 63,426
Non-trainable params: 1,024
_________________________________________________________________
","[1, 2, 4, 8, 16, 8, 4, 2]",relu,l2,0.2,TRUE,0.001,16,10000,Adam,mean_squared_error,556,80,0.005439,0.025323,0.0055,7339,N/A
2025-12-02_11-44-17,"Model: ""Modular_1D_CNN_Model""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 conv1d (Conv1D)             (None, 4624, 64)          320       
                                                                 
 batch_normalization (BatchN  (None, 4624, 64)         256       
 ormalization)                                                   
                                                                 
 max_pooling1d (MaxPooling1D  (None, 2312, 64)         0         
 )                                                               
                                                                 
 conv1d_1 (Conv1D)           (None, 2312, 64)          8256      
                                                                 
 batch_normalization_1 (Batc  (None, 2312, 64)         256       
 hNormalization)                                                 
                                                                 
 conv1d_2 (Conv1D)           (None, 2312, 64)          8256      
                                                                 
 batch_normalization_2 (Batc  (None, 2312, 64)         256       
 hNormalization)                                                 
                                                                 
 max_pooling1d_1 (MaxPooling  (None, 1156, 64)         0         
 1D)                                                             
                                                                 
 conv1d_3 (Conv1D)           (None, 1156, 64)          8256      
                                                                 
 batch_normalization_3 (Batc  (None, 1156, 64)         256       
 hNormalization)                                                 
                                                                 
 max_pooling1d_2 (MaxPooling  (None, 578, 64)          0         
 1D)                                                             
                                                                 
 conv1d_4 (Conv1D)           (None, 578, 64)           8256      
                                                                 
 batch_normalization_4 (Batc  (None, 578, 64)          256       
 hNormalization)                                                 
                                                                 
 max_pooling1d_3 (MaxPooling  (None, 289, 64)          0         
 1D)                                                             
                                                                 
 conv1d_5 (Conv1D)           (None, 289, 64)           8256      
                                                                 
 batch_normalization_5 (Batc  (None, 289, 64)          256       
 hNormalization)                                                 
                                                                 
 max_pooling1d_4 (MaxPooling  (None, 144, 64)          0         
 1D)                                                             
                                                                 
 conv1d_6 (Conv1D)           (None, 144, 64)           8256      
                                                                 
 batch_normalization_6 (Batc  (None, 144, 64)          256       
 hNormalization)                                                 
                                                                 
 max_pooling1d_5 (MaxPooling  (None, 72, 64)           0         
 1D)                                                             
                                                                 
 conv1d_7 (Conv1D)           (None, 72, 64)            8256      
                                                                 
 batch_normalization_7 (Batc  (None, 72, 64)           256       
 hNormalization)                                                 
                                                                 
 global_max_pooling1d (Globa  (None, 64)               0         
 lMaxPooling1D)                                                  
                                                                 
 dense (Dense)               (None, 64)                4160      
                                                                 
 dropout (Dropout)           (None, 64)                0         
                                                                 
 output (Dense)              (None, 2)                 130       
                                                                 
=================================================================
Total params: 64,450
Trainable params: 63,426
Non-trainable params: 1,024
_________________________________________________________________
","[1, 2, 4, 8, 16, 8, 4, 2]",relu,l2,0.2,TRUE,0.001,16,10000,Adam,mean_squared_error,556,80,0.005439,0.025323,0.0055,7339,N/A
2025-12-02_13-13-01,"Model: ""Modular_1D_CNN_Model""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 conv1d_8 (Conv1D)           (None, 4624, 64)          320       
                                                                 
 batch_normalization_8 (Batc  (None, 4624, 64)         256       
 hNormalization)                                                 
                                                                 
 max_pooling1d_6 (MaxPooling  (None, 1156, 64)         0         
 1D)                                                             
                                                                 
 conv1d_9 (Conv1D)           (None, 1156, 64)          8256      
                                                                 
 batch_normalization_9 (Batc  (None, 1156, 64)         256       
 hNormalization)                                                 
                                                                 
 conv1d_10 (Conv1D)          (None, 1156, 64)          8256      
                                                                 
 batch_normalization_10 (Bat  (None, 1156, 64)         256       
 chNormalization)                                                
                                                                 
 max_pooling1d_7 (MaxPooling  (None, 289, 64)          0         
 1D)                                                             
                                                                 
 conv1d_11 (Conv1D)          (None, 289, 64)           8256      
                                                                 
 batch_normalization_11 (Bat  (None, 289, 64)          256       
 chNormalization)                                                
                                                                 
 max_pooling1d_8 (MaxPooling  (None, 72, 64)           0         
 1D)                                                             
                                                                 
 conv1d_12 (Conv1D)          (None, 72, 64)            8256      
                                                                 
 batch_normalization_12 (Bat  (None, 72, 64)           256       
 chNormalization)                                                
                                                                 
 max_pooling1d_9 (MaxPooling  (None, 18, 64)           0         
 1D)                                                             
                                                                 
 conv1d_13 (Conv1D)          (None, 18, 64)            8256      
                                                                 
 batch_normalization_13 (Bat  (None, 18, 64)           256       
 chNormalization)                                                
                                                                 
 max_pooling1d_10 (MaxPoolin  (None, 4, 64)            0         
 g1D)                                                            
                                                                 
 conv1d_14 (Conv1D)          (None, 4, 64)             8256      
                                                                 
 batch_normalization_14 (Bat  (None, 4, 64)            256       
 chNormalization)                                                
                                                                 
 max_pooling1d_11 (MaxPoolin  (None, 1, 64)            0         
 g1D)                                                            
                                                                 
 conv1d_15 (Conv1D)          (None, 1, 64)             8256      
                                                                 
 batch_normalization_15 (Bat  (None, 1, 64)            256       
 chNormalization)                                                
                                                                 
 global_max_pooling1d_1 (Glo  (None, 64)               0         
 balMaxPooling1D)                                                
                                                                 
 dense_1 (Dense)             (None, 64)                4160      
                                                                 
 dropout_1 (Dropout)         (None, 64)                0         
                                                                 
 output (Dense)              (None, 2)                 130       
                                                                 
=================================================================
Total params: 64,450
Trainable params: 63,426
Non-trainable params: 1,024
_________________________________________________________________
","[1, 2, 4, 8, 16, 8, 4, 2]",relu,l2,0.2,TRUE,0.001,16,10000,Adam,mean_squared_error,556,80,0.082778,0.089685,0.089553,32,N/A
2025-12-02_13-13-01,"Model: ""Modular_1D_CNN_Model""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 conv1d_8 (Conv1D)           (None, 4624, 64)          320       
                                                                 
 batch_normalization_8 (Batc  (None, 4624, 64)         256       
 hNormalization)                                                 
                                                                 
 max_pooling1d_6 (MaxPooling  (None, 1156, 64)         0         
 1D)                                                             
                                                                 
 conv1d_9 (Conv1D)           (None, 1156, 64)          8256      
                                                                 
 batch_normalization_9 (Batc  (None, 1156, 64)         256       
 hNormalization)                                                 
                                                                 
 conv1d_10 (Conv1D)          (None, 1156, 64)          8256      
                                                                 
 batch_normalization_10 (Bat  (None, 1156, 64)         256       
 chNormalization)                                                
                                                                 
 max_pooling1d_7 (MaxPooling  (None, 289, 64)          0         
 1D)                                                             
                                                                 
 conv1d_11 (Conv1D)          (None, 289, 64)           8256      
                                                                 
 batch_normalization_11 (Bat  (None, 289, 64)          256       
 chNormalization)                                                
                                                                 
 max_pooling1d_8 (MaxPooling  (None, 72, 64)           0         
 1D)                                                             
                                                                 
 conv1d_12 (Conv1D)          (None, 72, 64)            8256      
                                                                 
 batch_normalization_12 (Bat  (None, 72, 64)           256       
 chNormalization)                                                
                                                                 
 max_pooling1d_9 (MaxPooling  (None, 18, 64)           0         
 1D)                                                             
                                                                 
 conv1d_13 (Conv1D)          (None, 18, 64)            8256      
                                                                 
 batch_normalization_13 (Bat  (None, 18, 64)           256       
 chNormalization)                                                
                                                                 
 max_pooling1d_10 (MaxPoolin  (None, 4, 64)            0         
 g1D)                                                            
                                                                 
 conv1d_14 (Conv1D)          (None, 4, 64)             8256      
                                                                 
 batch_normalization_14 (Bat  (None, 4, 64)            256       
 chNormalization)                                                
                                                                 
 max_pooling1d_11 (MaxPoolin  (None, 1, 64)            0         
 g1D)                                                            
                                                                 
 conv1d_15 (Conv1D)          (None, 1, 64)             8256      
                                                                 
 batch_normalization_15 (Bat  (None, 1, 64)            256       
 chNormalization)                                                
                                                                 
 global_max_pooling1d_1 (Glo  (None, 64)               0         
 balMaxPooling1D)                                                
                                                                 
 dense_1 (Dense)             (None, 64)                4160      
                                                                 
 dropout_1 (Dropout)         (None, 64)                0         
                                                                 
 output (Dense)              (None, 2)                 130       
                                                                 
=================================================================
Total params: 64,450
Trainable params: 63,426
Non-trainable params: 1,024
_________________________________________________________________
","[1, 2, 4, 8, 16, 8, 4, 2]",relu,l2,0.2,TRUE,0.001,16,10000,Adam,mean_squared_error,556,80,0.082778,0.089685,0.089553,32,N/A
