Time (index),Device 0 - Follower 0,Device 0 - Follower 1,Device 0 - Follower 2,Device 0 - Follower 3
0,987,1011,1091,1096
1,987,1011,1091,1096
2,987,1011,1092,1096
3,988,1010,1091,1096
4,987,1011,1092,1096
5,988,1011,1092,1096
6,987,1011,1092,1096
7,988,1011,1091,1096
8,988,1011,1091,1096
9,988,1011,1091,1096
10,988,1011,1091,1096
11,989,1011,1091,1096
12,988,1011,1091,1096
13,988,1011,1091,1096
14,988,1010,1091,1096
15,987,1011,1091,1096
16,987,1011,1091,1096
17,986,1011,1091,1096
18,985,1011,1091,1096
19,985,1011,1091,1096
20,984,1011,1091,1096
21,984,1012,1091,1096
22,985,1011,1091,1096
23,984,1011,1091,1096
24,984,1012,1091,1096
25,984,1011,1091,1096
26,984,1011,1091,1096
27,984,1011,1092,1097
28,984,1012,1096,1101
29,985,1011,1103,1116
30,984,1011,1111,1123
31,985,1011,1112,1123
32,985,1011,1112,1128
33,985,1011,1111,1126
34,985,1045,1111,1126
35,989,1091,1111,1125
36,1024,1089,1111,1125
37,1033,1088,1112,1124
38,1035,1087,1112,1123
39,1037,1087,1115,1121
40,1041,1086,1117,1118
41,1043,1087,1117,1118
42,1047,1086,1118,1139
43,1053,1086,1125,1166
44,1058,1086,1124,1160
45,1063,1085,1124,1160
46,1072,1214,1124,1168
47,1079,1226,1125,1170
48,1083,1244,1125,1170
49,1083,1264,1124,1170
50,1088,1291,1122,1170
51,1091,1295,1122,1170
52,1094,1294,1122,1169
53,1095,1297,1121,1169
54,1093,1299,1120,1169
55,1093,1298,1119,1168
56,1093,1298,1118,1168
57,1092,1297,1117,1167
58,1091,1296,1113,1165
59,1090,1296,1106,1149
60,1089,1294,1101,1134
61,1088,1293,1101,1125
62,1088,1122,1099,1118
63,1061,1113,1096,1103
64,1025,1135,1096,1100
65,1032,1061,1095,1099
66,1022,1056,1095,1099
67,1022,1046,1095,1098
68,1015,1046,1094,1097
69,1012,1044,1094,1097
70,1009,1006,1094,1097
71,1005,1025,1094,1097
72,1003,1028,1094,1097
73,1001,1028,1094,1097
74,1001,1029,1094,1097
75,1000,1010,1094,1097
76,1000,1015,1094,1097
77,1000,1017,1094,1096
78,999,1018,1094,1097
79,998,1018,1094,1097
80,999,1019,1094,1096
81,998,1020,1093,1096
82,998,1021,1093,1096
83,999,1020,1093,1095
84,999,1021,1094,1095
85,998,996,1094,1095
86,997,1004,1093,1095
87,997,1007,1093,1096
88,998,1007,1093,1095
89,997,1007,1093,1095
90,998,1007,1093,1094
91,997,1008,1093,1095
92,996,1008,1093,1096
93,995,1008,1093,1096
94,995,1009,1093,1096
95,995,1009,1093,1096
96,995,1009,1093,1096
97,995,1009,1093,1097
98,994,1009,1093,1097
99,995,1010,1093,1095
100,994,1009,1093,1097
101,994,1009,1093,1097
