Time (index),Device 0 - Follower 0,Device 0 - Follower 1,Device 0 - Follower 2,Device 0 - Follower 3
0,1015,1016,1097,1097
1,1015,1017,1097,1097
2,1014,1017,1097,1097
3,1015,1017,1097,1096
4,1015,1017,1097,1097
5,1015,1018,1097,1096
6,1014,1018,1097,1097
7,1015,1018,1097,1096
8,1014,1018,1097,1097
9,1015,1018,1097,1096
10,1015,1019,1097,1096
11,1015,1019,1096,1096
12,1015,1019,1097,1096
13,1015,1019,1097,1096
14,1014,1019,1096,1096
15,1013,1014,1097,1096
16,1013,1010,1096,1096
17,1012,1011,1096,1096
18,1012,1011,1096,1096
19,1012,1011,1096,1096
20,1011,1011,1096,1096
21,1011,1012,1096,1096
22,1011,1012,1097,1096
23,1010,1012,1096,1096
24,1011,1012,1096,1096
25,1010,1012,1096,1096
26,1011,1013,1096,1096
27,1011,1012,1096,1096
28,1011,1013,1096,1096
29,1012,1013,1096,1096
30,1012,1013,1096,1096
31,1012,1013,1096,1096
32,1012,1013,1096,1096
33,1011,1013,1096,1096
34,1011,1013,1096,1096
35,1011,1013,1096,1096
36,1011,1013,1096,1096
37,1010,1013,1096,1096
38,1011,1014,1096,1096
39,1011,1013,1096,1096
40,1010,1014,1096,1096
41,1010,1013,1096,1096
42,1011,1013,1096,1096
43,1011,1014,1096,1096
44,1010,1014,1096,1096
45,1011,1014,1096,1096
46,1011,1014,1096,1096
47,1010,1014,1096,1095
48,1011,1013,1096,1095
49,1011,1013,1096,1095
50,1010,1009,1096,1096
51,1010,997,1096,1095
52,1011,1001,1096,1096
53,1011,1001,1096,1096
54,1011,1002,1096,1095
55,1011,1002,1096,1095
56,1011,1001,1096,1095
57,1011,1003,1096,1095
58,1010,1003,1096,1095
59,1011,1002,1096,1096
60,1011,1003,1095,1096
61,1011,1003,1095,1095
62,1011,1003,1096,1095
63,1010,1003,1095,1095
64,1009,1003,1096,1095
65,1008,1003,1096,1096
66,1008,1004,1095,1095
67,1008,1003,1095,1095
68,1009,1004,1095,1095
69,1009,1003,1095,1095
70,1008,1004,1095,1095
71,1007,1003,1096,1095
72,1006,1004,1095,1095
73,1006,1004,1095,1095
74,1006,1003,1095,1095
75,1007,1004,1095,1095
76,1006,1004,1095,1095
77,1007,1005,1095,1095
78,1007,1005,1095,1095
79,1007,1004,1095,1095
80,1006,1004,1095,1095
81,1007,1005,1095,1095
82,1006,1005,1095,1095
83,1006,1005,1095,1095
84,1006,1005,1095,1095
85,1006,1005,1095,1095
86,1005,1005,1095,1095
87,1005,1005,1095,1095
88,1005,1006,1095,1095
89,1005,1006,1095,1095
90,1005,1005,1095,1095
91,1005,1005,1095,1095
92,1006,1005,1095,1095
93,1005,1006,1095,1095
94,1005,1006,1095,1095
95,1005,1006,1095,1095
96,1005,1005,1095,1095
97,1005,1006,1095,1095
98,1005,1006,1095,1095
99,1005,1006,1095,1095
100,1005,1006,1095,1095
101,1005,1006,1095,1095
102,1006,1006,1095,1095
103,1006,1006,1095,1095
104,1005,1007,1095,1095
105,1005,1007,1095,1095
106,1006,1007,1095,1095
107,1006,1007,1095,1095
108,1006,1006,1095,1095
109,1005,1006,1095,1095
110,1006,1006,1095,1095
111,1006,1007,1095,1095
112,1006,1007,1095,1095
113,1006,1008,1095,1095
114,1006,1007,1095,1095
115,1006,1008,1095,1095
116,1006,1007,1095,1095
