Time (index),Device 0 - Follower 0,Device 0 - Follower 1,Device 0 - Follower 2,Device 0 - Follower 3
0,1006,1006,1101,1094
1,1006,1006,1101,1094
2,1006,1006,1101,1094
3,1005,1007,1101,1094
4,1006,1007,1101,1093
5,1006,1006,1101,1093
6,1006,1007,1101,1094
7,1006,1006,1101,1094
8,1006,1007,1101,1094
9,1007,1007,1101,1093
10,1006,1007,1101,1093
11,1005,1007,1100,1093
12,1005,1006,1100,1094
13,1005,1006,1100,1093
14,1006,1007,1100,1093
15,1006,1007,1100,1093
16,1006,1007,1100,1093
17,1005,1007,1100,1093
18,1006,1007,1100,1093
19,1006,1007,1100,1093
20,1006,1006,1100,1093
21,1006,1006,1100,1093
22,1006,1006,1100,1093
23,1005,1007,1100,1093
24,1006,1007,1100,1093
25,1007,1006,1100,1093
26,1006,1006,1100,1093
27,1006,1006,1100,1093
28,1006,1006,1100,1093
29,1005,1006,1100,1093
30,1005,1006,1099,1093
31,1006,1007,1100,1093
32,1006,1007,1100,1093
33,1005,1007,1100,1093
34,1006,1007,1099,1093
35,1006,1007,1099,1093
36,1005,1006,1099,1093
37,1006,1006,1099,1093
38,1006,1006,1099,1093
39,1005,1006,1099,1093
40,1005,1006,1099,1093
41,1006,1007,1099,1093
42,1006,1006,1099,1093
43,1006,1006,1099,1093
44,1006,1006,1099,1093
45,1006,1006,1099,1093
46,1006,1007,1099,1093
47,1006,1006,1099,1093
48,1006,1007,1099,1093
49,1006,1006,1099,1093
50,1006,1007,1099,1093
51,1006,1006,1099,1093
52,1006,1006,1099,1093
53,1006,1006,1099,1093
54,1006,1006,1099,1093
55,1005,1006,1099,1093
56,1006,1007,1099,1093
57,1006,1006,1099,1092
58,1006,1007,1099,1093
59,1006,1007,1099,1092
60,1006,1007,1099,1092
61,1006,1006,1099,1092
62,1006,1007,1099,1092
63,1005,1007,1099,1092
64,1006,1006,1099,1092
65,1006,1007,1099,1092
66,1005,1007,1098,1093
67,1006,1006,1099,1092
68,1005,1007,1099,1092
69,1005,1007,1099,1092
70,1006,1007,1098,1092
71,1006,1006,1098,1093
72,1006,1006,1099,1092
73,1005,1006,1099,1092
74,1005,1007,1099,1092
75,1006,1007,1099,1092
76,1006,1006,1098,1092
77,1006,1006,1099,1092
78,1006,1006,1099,1093
79,1006,1007,1099,1093
80,1006,1006,1099,1092
