Condition,Subcondition,Trial,Sensor1 Mean,Sensor2 Mean,Sensor1_Diff,Sensor2_Diff
PAP,HAPTICS,1,1207.0,1221.89,114.0,130.8900000000001
PAP,HAPTICS,2,1176.5,1204.71,83.5,99.71000000000004
PAP,HAPTICS,3,1228.92,1253.84,137.92000000000007,151.83999999999992
PAP,HAPTICS,4,1217.03,1259.44,126.02999999999997,157.44000000000005
PAP,HAPTICS,5,1149.46,1155.75,60.460000000000036,55.75
PAP,HAPTICS,6,1109.65,1104.2,19.65000000000009,4.2000000000000455
PAP,HAPTICS,7,1227.19,1239.58,150.19000000000005,145.57999999999993
PAP,HAPTICS,8,1210.32,1247.77,115.31999999999994,156.76999999999998
PAP,HAPTICS,9,1198.64,1241.42,103.6400000000001,144.42000000000007
PAP,HAPTICS,10,1212.33,1262.6,118.32999999999993,166.5999999999999
PAP,HAPTICS,OverallMean,1193.7,1219.12,,
PAP,NOhaptics,1,1189.58,1212.92,93.57999999999993,116.92000000000007
PAP,NOhaptics,2,1179.84,1231.45,86.83999999999992,141.45000000000005
PAP,NOhaptics,3,1179.81,1231.41,86.80999999999995,141.41000000000008
PAP,NOhaptics,4,1220.12,1238.38,130.1199999999999,152.3800000000001
PAP,NOhaptics,5,1152.37,1189.14,62.36999999999989,90.1400000000001
PAP,NOhaptics,6,1212.5,1247.19,124.5,149.19000000000005
PAP,NOhaptics,7,1114.17,1130.53,26.170000000000073,34.52999999999997
PAP,NOhaptics,8,1211.39,1260.16,120.3900000000001,165.16000000000008
PAP,NOhaptics,9,1206.43,1227.22,116.43000000000006,133.22000000000003
PAP,NOhaptics,10,1215.32,1249.54,118.31999999999994,158.53999999999996
PAP,NOhaptics,OverallMean,1188.15,1221.79,,
PAPObstructed,HAPTICS,1,1210.94,1265.84,,
PAPObstructed,HAPTICS,2,1211.81,1258.98,,
PAPObstructed,HAPTICS,3,1212.83,1262.85,,
PAPObstructed,HAPTICS,4,1216.73,1264.89,,
PAPObstructed,HAPTICS,5,1111.96,1117.9,,
PAPObstructed,HAPTICS,OverallMean,1192.85,1234.09,,
PAPObstructed,NOhaptics,1,1220.69,1260.82,,
PAPObstructed,NOhaptics,2,1213.35,1237.43,,
PAPObstructed,NOhaptics,3,1211.06,1228.78,,
PAPObstructed,NOhaptics,4,1213.54,1260.01,,
PAPObstructed,NOhaptics,5,1159.09,1191.15,,
PAPObstructed,NOhaptics,OverallMean,1203.55,1235.64,,
Camera,HAPTICS,1,1222.85,1259.96,131.8499999999999,170.96000000000004
Camera,HAPTICS,2,1218.56,1237.81,124.55999999999995,147.80999999999995
Camera,HAPTICS,3,1185.92,1200.1,92.92000000000007,108.09999999999991
Camera,HAPTICS,4,1175.99,1194.87,82.99000000000001,104.86999999999989
Camera,HAPTICS,5,1214.25,1262.21,122.25,173.21000000000004
Camera,HAPTICS,OverallMean,1203.52,1230.99,,
Camera,NOhaptics,1,1229.37,1265.18,136.3699999999999,175.18000000000006
Camera,NOhaptics,2,1227.94,1250.28,137.94000000000005,153.27999999999997
Camera,NOhaptics,3,,,,
Camera,NOhaptics,4,1229.8,1261.45,135.79999999999995,176.45000000000005
Camera,NOhaptics,5,1223.84,1260.33,131.83999999999992,168.32999999999993
Camera,NOhaptics,OverallMean,1227.74,1259.31,,
