Condition,Subcondition,Trial,Sensor1 Mean,Sensor2 Mean,Sensor1_Min,Sensor2_Min
PAP,HAPTICS,1,1207.00,1221.89,1094,1093
PAP,HAPTICS,2,1176.50,1204.71,1094,1109
PAP,HAPTICS,3,1228.92,1253.84,1093,1106
PAP,HAPTICS,4,1217.03,1259.44,1092,1106
PAP,HAPTICS,5,1149.46,1155.75,1093,1106
PAP,HAPTICS,6,1109.65,1104.20,1096,1107
PAP,HAPTICS,7,1227.19,1239.58,1091,1102
PAP,HAPTICS,8,1210.32,1247.77,1096,1092
PAP,HAPTICS,9,1198.64,1241.42,1096,1100
PAP,HAPTICS,10,1212.33,1262.60,1096,1099
PAP,HAPTICS,OverallMean,1193.70,1219.12,,
PAP,NOhaptics,1,1189.58,1212.92,1097,1097
PAP,NOhaptics,2,1179.84,1231.45,1097,1100
PAP,NOhaptics,3,1179.81,1231.41,1097,1100
PAP,NOhaptics,4,1220.12,1238.38,1092,1091
PAP,NOhaptics,5,1152.37,1189.14,1094,1101
PAP,NOhaptics,6,1212.50,1247.19,1092,1099
PAP,NOhaptics,7,1114.17,1130.53,1094,1100
PAP,NOhaptics,8,1211.39,1260.16,1091,1096
PAP,NOhaptics,9,1206.43,1227.22,1093,1101
PAP,NOhaptics,10,1215.32,1249.54,1098,1092
PAP,NOhaptics,OverallMean,1188.15,1221.79,,
PAPObstructed,HAPTICS,1,1210.94,1265.84,1096,1091
PAPObstructed,HAPTICS,2,1211.81,1258.98,1097,1099
PAPObstructed,HAPTICS,3,1212.83,1262.85,1096,1098
PAPObstructed,HAPTICS,4,1216.73,1264.89,1096,1096
PAPObstructed,HAPTICS,5,1111.96,1117.90,1096,1097
PAPObstructed,HAPTICS,OverallMean,1192.85,1234.09,,
PAPObstructed,NOhaptics,1,1220.69,1260.82,1095,1095
PAPObstructed,NOhaptics,2,1213.35,1237.43,1095,1099
PAPObstructed,NOhaptics,3,1211.06,1228.78,1095,1100
PAPObstructed,NOhaptics,4,1213.54,1260.01,1093,1100
PAPObstructed,NOhaptics,5,1159.09,1191.15,1092,1099
PAPObstructed,NOhaptics,OverallMean,1203.55,1235.64,,
Camera,HAPTICS,1,1222.85,1259.96,1097.0,1093.0
Camera,HAPTICS,2,1218.56,1237.81,1097,1098
Camera,HAPTICS,3,1185.92,1200.10,1096,1096
Camera,HAPTICS,4,1175.99,1194.87,1096,1094
Camera,HAPTICS,5,1214.25,1262.21,1093,1094
Camera,HAPTICS,OverallMean,1203.52,1230.99,,
Camera,NOhaptics,1,1229.37,1265.18,1093,1092
Camera,NOhaptics,2,1227.94,1250.28,1094,1103
Camera,NOhaptics,3,x,x,1093,1100
Camera,NOhaptics,4,1229.80,1261.45,1097,1091
Camera,NOhaptics,5,1223.84,1260.33,1097,1101
Camera,NOhaptics,OverallMean,1227.74,1259.31,,
