Time (index),Device 0 - Follower 0,Device 0 - Follower 1,Device 0 - Follower 2,Device 0 - Follower 3
0,1005,1006,1092,1091
1,1005,1006,1092,1091
2,1005,1007,1092,1091
3,1005,1006,1092,1091
4,1006,1006,1091,1091
5,1005,1006,1092,1091
6,1005,1006,1092,1091
7,1005,1006,1092,1091
8,1005,1006,1092,1091
9,1005,1006,1091,1091
10,1006,1006,1092,1091
11,1005,1006,1092,1091
12,1005,1006,1092,1091
13,1006,1007,1091,1091
14,1005,1006,1091,1091
15,1005,1006,1091,1091
16,1006,1007,1092,1091
17,1006,1006,1091,1091
18,1005,1006,1091,1091
19,1005,1007,1091,1091
20,1006,1006,1092,1091
21,1005,1006,1091,1091
22,1006,1007,1092,1091
23,1005,1006,1091,1091
24,1005,1006,1092,1091
25,1006,1006,1092,1091
26,1005,1006,1091,1091
27,1005,1007,1092,1091
28,1005,1006,1092,1091
29,1005,1006,1092,1091
30,1005,1006,1092,1091
31,1005,1006,1092,1091
32,1006,1006,1092,1091
33,1005,1006,1092,1091
34,1006,1006,1092,1091
35,1005,1006,1091,1091
36,1005,1006,1092,1091
37,1005,1006,1092,1091
38,1005,1006,1092,1091
39,1006,1005,1092,1091
40,1006,1005,1092,1091
41,1005,1006,1092,1091
42,1005,1006,1091,1091
43,1005,1006,1092,1091
44,1006,1005,1092,1091
45,1005,1006,1092,1091
46,1006,1004,1092,1091
47,1005,1005,1092,1091
48,1005,1005,1092,1091
49,1006,1006,1092,1091
50,1005,1005,1092,1091
51,1005,1006,1092,1091
52,1005,1006,1092,1091
53,1005,1006,1092,1091
54,1006,1006,1092,1091
55,1006,1006,1092,1091
56,1005,1006,1092,1091
57,1006,1006,1092,1091
58,1005,1005,1092,1091
59,1006,1006,1092,1091
60,1006,1006,1092,1091
61,1006,1007,1092,1091
62,1005,1007,1092,1091
63,1005,1006,1092,1091
64,1005,1006,1092,1091
65,1005,1006,1092,1091
66,1005,1006,1092,1091
67,1005,1006,1092,1091
68,1005,1005,1092,1091
69,1005,1006,1092,1091
70,1005,1006,1092,1091
71,1006,1005,1092,1091
72,1005,1006,1092,1091
73,1005,1006,1092,1091
74,1005,1006,1092,1091
75,1005,1006,1092,1091
76,1005,1006,1092,1091
77,1005,1006,1092,1091
78,1005,1006,1092,1091
79,1005,1006,1092,1091
80,1005,1006,1092,1091
81,1005,1006,1092,1091
82,1005,1006,1092,1091
83,1005,1006,1092,1091
84,1005,1006,1091,1091
85,1006,1006,1092,1091
86,1005,1006,1092,1091
87,1006,1006,1091,1091
88,1005,1006,1091,1091
89,1006,1006,1092,1091
90,1006,1006,1091,1091
91,1006,1006,1092,1091
