Time (index),Device 0 - Follower 0,Device 0 - Follower 1,Device 0 - Follower 2,Device 0 - Follower 3
0,997,1014,1093,1097
1,997,1014,1093,1097
2,996,1014,1093,1097
3,996,1013,1093,1097
4,996,1013,1093,1097
5,996,1013,1093,1097
6,995,1013,1093,1097
7,996,1014,1093,1097
8,996,1014,1093,1097
9,995,1013,1094,1097
10,995,1014,1093,1097
11,995,1013,1093,1097
12,995,1013,1093,1097
13,995,1013,1093,1097
14,996,1014,1093,1097
15,995,1013,1093,1097
16,996,1013,1093,1097
17,996,1014,1093,1097
18,996,1013,1093,1097
19,996,1013,1093,1097
20,996,1013,1093,1097
21,995,1014,1093,1097
22,996,1013,1094,1097
23,996,1013,1093,1097
24,996,1014,1093,1097
25,995,1013,1093,1097
26,996,1013,1093,1097
27,996,1014,1093,1097
28,996,1013,1093,1097
29,996,1014,1093,1097
30,996,1014,1093,1097
31,996,1013,1093,1097
32,996,1014,1093,1097
33,996,1013,1093,1097
34,996,1014,1093,1097
35,996,1013,1093,1097
36,997,1014,1093,1097
37,997,1013,1093,1097
38,997,1013,1093,1097
39,997,1014,1093,1097
40,997,1013,1093,1097
41,997,1013,1093,1097
42,997,1014,1093,1097
43,998,1013,1093,1097
44,998,1014,1093,1097
45,997,1013,1093,1097
46,996,1014,1093,1097
47,996,1013,1093,1097
48,996,1014,1093,1097
49,996,1014,1093,1097
50,995,1014,1093,1097
51,995,1013,1093,1097
52,995,1013,1093,1097
53,995,1014,1093,1097
54,995,1013,1093,1097
55,994,1013,1093,1097
56,994,1013,1093,1097
57,994,1013,1094,1097
58,995,1013,1093,1097
59,995,1014,1093,1097
60,995,1014,1093,1097
61,994,1013,1093,1097
62,995,1013,1093,1097
63,995,1014,1093,1097
64,995,1013,1093,1097
65,995,1013,1093,1097
66,996,1013,1093,1097
67,995,1013,1093,1097
68,996,1013,1093,1097
69,995,1013,1093,1097
70,996,1013,1093,1097
71,996,1013,1093,1097
72,996,1014,1093,1097
73,996,1014,1093,1097
74,996,1014,1093,1097
75,996,1014,1093,1097
76,996,1014,1093,1097
77,996,1013,1093,1097
78,996,1013,1093,1097
79,996,1014,1093,1097
80,997,1014,1093,1097
81,996,1013,1093,1097
82,996,1014,1093,1097
83,996,1013,1093,1097
84,997,1013,1093,1097
85,996,1013,1093,1097
86,997,1013,1093,1097
87,997,1013,1093,1097
88,996,1013,1093,1097
89,997,1014,1093,1097
90,997,1013,1093,1097
91,997,1013,1093,1097
92,996,1014,1093,1097
93,996,1013,1093,1097
94,996,1013,1093,1097
95,996,1014,1093,1097
96,995,1013,1093,1097
97,995,1014,1093,1097
98,995,1013,1093,1097
99,995,1013,1093,1098
100,996,1013,1093,1097
101,995,1014,1093,1097
102,996,1014,1093,1097
103,996,1013,1093,1097
104,996,1014,1093,1097
105,995,1013,1093,1097
106,996,1013,1093,1097
107,996,1013,1093,1097
108,996,1013,1093,1097
109,996,1014,1093,1097
110,996,1014,1093,1097
111,996,1013,1093,1097
112,996,1013,1093,1097
113,996,1013,1093,1097
114,995,1013,1093,1097
115,996,1014,1093,1097
116,996,1014,1093,1097
117,996,1013,1094,1097
118,996,1013,1094,1097
119,996,1014,1094,1097
120,995,1014,1094,1098
121,996,1014,1101,1105
122,996,1014,1114,1117
123,996,1013,1122,1121
124,995,1013,1122,1121
125,996,1013,1121,1120
126,1104,1013,1120,1120
127,1098,1013,1120,1120
128,1083,1014,1120,1120
129,1082,1016,1120,1119
130,1083,1020,1119,1119
131,1083,1023,1119,1119
132,1084,1030,1119,1119
133,1084,1038,1119,1119
134,1083,1045,1119,1119
135,1083,1050,1119,1119
136,1083,1055,1119,1119
137,1083,1056,1119,1119
138,1082,1056,1119,1119
139,1082,1059,1119,1119
140,1082,1060,1119,1119
141,1082,1061,1119,1118
142,1082,1062,1119,1119
143,1082,1062,1119,1118
144,1082,1063,1119,1118
145,1083,1063,1119,1118
146,1083,1064,1119,1118
147,1082,1064,1119,1118
148,1083,1063,1119,1118
149,1082,1063,1119,1118
150,1083,1064,1119,1118
151,1083,1064,1119,1118
152,1083,1064,1118,1118
153,1082,1064,1119,1118
154,1083,1064,1118,1118
155,1083,1064,1118,1118
156,1083,1064,1118,1118
157,1083,1065,1118,1118
158,1082,1064,1118,1118
159,1082,1065,1118,1118
160,1083,1065,1119,1118
161,1082,1065,1118,1118
162,1082,1065,1118,1118
163,1081,1065,1118,1118
164,1081,1064,1118,1118
165,1081,1065,1118,1118
166,1081,1064,1118,1118
167,1081,1065,1119,1118
168,1081,1065,1118,1118
169,1081,1064,1118,1118
170,1081,1065,1118,1118
171,1081,1064,1118,1118
172,1081,1065,1118,1118
173,1081,1065,1118,1118
174,1081,1065,1118,1118
175,1081,1065,1118,1118
176,1080,1065,1118,1118
177,1080,1065,1118,1118
178,1080,1065,1118,1118
179,1080,1065,1118,1118
180,1081,1066,1118,1118
181,1080,1065,1118,1118
182,1081,1066,1118,1118
183,1081,1066,1118,1118
184,1080,1066,1118,1118
185,1081,1066,1118,1118
186,1080,1065,1118,1118
187,1081,1065,1118,1118
188,1080,1066,1118,1118
189,1080,1066,1118,1118
190,1080,1066,1118,1118
191,1080,1066,1118,1118
192,1080,1066,1118,1118
193,1080,1065,1118,1117
194,1080,1065,1111,1111
195,1080,1066,1104,1105
196,1080,1065,1099,1100
197,1080,1065,1096,1100
198,1080,1065,1096,1100
199,1058,1065,1096,1099
200,1016,1064,1096,1099
201,1008,1064,1095,1099
202,1007,1035,1095,1099
203,1008,1034,1095,1099
204,1008,1035,1095,1099
205,1008,1036,1095,1099
206,1009,1035,1095,1099
207,1009,1035,1095,1099
208,1009,1035,1095,1099
209,1009,1035,1095,1098
210,1009,1035,1095,1099
211,1009,1035,1095,1099
212,1009,1032,1095,1099
213,1009,1022,1095,1099
214,1009,1021,1095,1100
215,1009,1021,1095,1098
216,1009,1022,1095,1099
217,1009,1022,1095,1099
218,1009,1021,1095,1098
219,1009,1021,1095,1098
220,1010,1021,1095,1098
221,1009,1021,1095,1098
222,1009,1022,1095,1098
223,1009,1022,1095,1098
224,1010,1022,1095,1098
225,1008,1022,1095,1098
226,1007,1022,1095,1098
227,1007,1022,1095,1098
228,1006,1022,1095,1098
229,1005,1023,1095,1098
230,1005,1022,1095,1098
231,1005,1021,1095,1098
232,1004,1022,1095,1098
233,1004,1022,1095,1098
234,1004,1022,1095,1098
235,1005,1022,1095,1098
236,1004,1022,1095,1098
237,1004,1022,1095,1098
238,1005,1022,1095,1098
239,1005,1022,1094,1098
240,1005,1022,1094,1098
241,1005,1022,1095,1098
242,1005,1022,1095,1098
243,1005,1021,1095,1098
244,1005,1021,1094,1098
245,1004,1021,1094,1098
246,1005,1021,1094,1098
247,1005,1021,1095,1098
248,1004,1022,1095,1098
249,1003,1021,1094,1098
250,1003,1021,1095,1098
251,1004,1021,1094,1098
252,1004,1021,1094,1098
253,1004,1021,1094,1098
254,1003,1021,1094,1098
255,1003,1021,1094,1098
256,1002,1021,1094,1098
257,1002,1021,1094,1098
258,1002,1021,1095,1098
259,1002,1021,1095,1098
260,1001,1021,1095,1098
261,1001,1021,1095,1098
262,1002,1020,1095,1099
263,1002,1020,1101,1106
264,1002,1020,1112,1117
265,1002,1021,1122,1121
266,1002,1020,1122,1121
267,1002,1021,1121,1120
268,1002,1020,1120,1120
269,1057,1021,1120,1119
270,1076,1023,1120,1119
271,1080,1042,1120,1119
272,1081,1050,1119,1119
273,1082,1056,1119,1119
274,1083,1058,1119,1119
275,1082,1060,1119,1119
276,1082,1061,1119,1119
277,1082,1063,1119,1119
278,1082,1063,1119,1119
279,1082,1064,1119,1118
280,1082,1064,1119,1119
281,1082,1064,1119,1119
282,1083,1064,1119,1118
283,1083,1065,1119,1118
284,1083,1066,1119,1119
285,1083,1066,1119,1118
286,1083,1066,1119,1119
287,1083,1065,1119,1118
288,1083,1065,1119,1118
289,1083,1066,1118,1118
290,1083,1066,1118,1118
291,1083,1065,1118,1118
292,1083,1065,1119,1118
293,1083,1066,1118,1118
294,1083,1065,1119,1118
295,1083,1065,1119,1118
296,1082,1066,1118,1118
297,1082,1066,1119,1118
298,1083,1065,1118,1118
299,1083,1065,1118,1118
300,1083,1066,1118,1118
301,1082,1065,1118,1118
302,1082,1065,1118,1118
303,1082,1065,1119,1118
304,1082,1065,1119,1118
305,1081,1065,1118,1118
306,1082,1065,1118,1118
307,1082,1065,1118,1118
308,1082,1065,1118,1118
309,1082,1065,1118,1118
310,1081,1065,1118,1118
311,1082,1065,1118,1118
312,1081,1065,1118,1118
313,1081,1066,1118,1118
314,1081,1066,1118,1118
315,1081,1065,1118,1118
316,1081,1065,1118,1118
317,1081,1066,1118,1118
318,1081,1065,1118,1118
319,1081,1066,1118,1118
320,1081,1065,1118,1118
321,1081,1066,1118,1118
322,1081,1066,1118,1118
323,1081,1065,1118,1118
324,1080,1065,1118,1118
325,1081,1065,1118,1118
326,1080,1065,1118,1118
327,1080,1066,1118,1118
328,1080,1065,1118,1118
329,1080,1065,1118,1118
330,1081,1066,1118,1118
331,1080,1066,1118,1118
332,1080,1066,1118,1118
333,1080,1065,1118,1118
334,1080,1066,1118,1118
335,1080,1066,1117,1116
336,1080,1065,1111,1111
337,1080,1066,1104,1106
338,1080,1065,1098,1100
339,1079,1065,1097,1099
340,1078,1065,1096,1099
341,1077,1065,1096,1099
342,1009,1064,1096,1099
343,1021,1062,1096,1099
344,1024,1038,1095,1099
345,1025,1040,1095,1099
346,1024,1041,1095,1099
347,1021,1041,1095,1099
348,1013,1040,1095,1099
349,1010,1028,1095,1099
350,1008,1028,1095,1099
351,1007,1028,1095,1099
352,1006,1027,1095,1099
353,1005,1027,1095,1098
354,1005,1028,1095,1099
355,1004,1028,1095,1099
356,1004,1027,1095,1098
357,1004,1028,1095,1099
358,1005,1029,1095,1099
359,1004,1028,1095,1099
360,1005,1028,1095,1098
361,1004,1028,1095,1098
362,1005,1028,1095,1098
363,1004,1028,1095,1099
364,1005,1028,1095,1098
365,1005,1028,1095,1099
366,1004,1028,1095,1099
367,1005,1028,1095,1098
368,1005,1027,1095,1099
369,1005,1027,1095,1098
370,1005,1027,1095,1098
371,1006,1026,1095,1098
372,1006,1025,1095,1098
373,1005,1023,1094,1098
374,1005,1023,1095,1098
375,1005,1022,1095,1098
376,1005,1022,1095,1098
377,1005,1021,1095,1098
378,1006,1020,1095,1098
379,1005,1020,1095,1098
380,1006,1019,1095,1098
381,1006,1019,1095,1098
382,1006,1020,1094,1098
383,1006,1019,1095,1098
384,1006,1020,1095,1098
385,1005,1020,1095,1098
386,1005,1019,1095,1098
387,1005,1019,1094,1098
388,1005,1020,1094,1098
389,1005,1019,1094,1098
390,1005,1020,1094,1098
391,1004,1019,1094,1098
392,1003,1019,1095,1099
393,1002,1019,1094,1098
394,1002,1019,1094,1098
395,1001,1020,1094,1098
396,1001,1020,1094,1098
397,1002,1018,1094,1098
398,1002,1020,1095,1098
399,1001,1019,1094,1098
400,1002,1020,1094,1098
401,1002,1020,1095,1098
402,1002,1019,1094,1098
403,1001,1019,1095,1098
404,1001,1019,1094,1098
405,1001,1019,1094,1098
406,1001,1019,1095,1098
407,1001,1019,1095,1098
408,1001,1020,1094,1098
409,1001,1019,1094,1098
410,1001,1019,1095,1098
411,1001,1019,1094,1098
412,1002,1019,1094,1098
413,1002,1020,1094,1098
414,1002,1019,1095,1098
415,1002,1019,1094,1098
416,1002,1019,1094,1098
417,1002,1019,1094,1098
418,1002,1019,1094,1098
419,1002,1019,1094,1098
420,1002,1018,1094,1098
421,1002,1019,1094,1098
422,1002,1019,1095,1098
423,1002,1019,1094,1098
424,1002,1018,1094,1098
425,1002,1019,1094,1098
426,1002,1020,1095,1098
427,1003,1019,1094,1098
428,1002,1019,1094,1098
429,1003,1019,1094,1098
430,1003,1019,1094,1098
431,1003,1019,1093,1098
432,1002,1019,1093,1098
433,1002,1018,1095,1098
434,1001,1019,1096,1098
435,999,1019,1095,1098
436,997,1019,1095,1098
437,997,1019,1095,1098
438,997,1019,1095,1098
439,997,1019,1094,1098
440,997,1018,1094,1099
441,997,1018,1094,1098
442,997,1018,1094,1098
443,997,1018,1094,1098
444,997,1019,1094,1098
445,998,1019,1094,1098
446,998,1019,1094,1098
447,998,1018,1095,1098
448,998,1019,1094,1098
449,998,1018,1095,1098
450,998,1018,1094,1098
451,998,1019,1094,1098
452,998,1019,1094,1098
453,998,1018,1094,1098
454,998,1018,1094,1098
455,999,1018,1094,1098
456,999,1019,1094,1098
457,999,1018,1094,1098
458,999,1019,1094,1098
459,999,1019,1094,1098
460,999,1018,1094,1098
461,999,1018,1094,1098
462,999,1018,1094,1098
463,1000,1019,1094,1098
464,999,1018,1094,1098
465,1000,1019,1094,1098
466,999,1019,1094,1098
467,1000,1018,1094,1098
468,1000,1018,1094,1098
469,999,1019,1094,1098
470,1000,1018,1094,1098
471,999,1018,1094,1098
472,1000,1018,1094,1098
473,1000,1018,1094,1098
474,1000,1018,1094,1098
475,1000,1017,1094,1098
476,1000,1019,1094,1098
477,1000,1018,1094,1098
478,1000,1018,1094,1098
479,1000,1018,1094,1098
480,1000,1018,1094,1098
481,1000,1018,1095,1098
482,1000,1017,1095,1098
483,1001,1018,1095,1098
484,1001,1018,1103,1105
485,1001,1018,1122,1105
486,1001,1018,1145,1123
487,1001,1018,1164,1145
488,1145,1017,1172,1160
489,1201,1018,1171,1169
490,1170,1021,1171,1170
491,1254,1182,1170,1168
492,1292,1267,1169,1168
493,1299,1275,1168,1167
494,1307,1292,1167,1167
495,1311,1292,1167,1166
496,1312,1297,1166,1166
497,1313,1295,1166,1165
498,1312,1295,1165,1165
499,1312,1294,1165,1165
500,1311,1292,1165,1165
501,1311,1290,1164,1165
502,1311,1290,1164,1165
503,1310,1288,1164,1164
504,1309,1289,1164,1165
505,1309,1288,1164,1164
506,1308,1286,1163,1164
507,1308,1286,1163,1164
508,1307,1285,1163,1164
509,1306,1285,1163,1164
510,1306,1284,1163,1164
511,1305,1284,1163,1164
512,1304,1283,1163,1164
513,1304,1282,1162,1164
514,1303,1282,1162,1164
515,1302,1281,1163,1163
516,1302,1281,1162,1163
517,1302,1281,1162,1163
518,1302,1280,1162,1163
519,1301,1280,1162,1163
520,1300,1279,1162,1163
521,1300,1279,1162,1163
522,1299,1278,1162,1163
523,1299,1278,1161,1163
524,1298,1277,1161,1163
525,1297,1277,1161,1163
526,1297,1277,1161,1163
527,1297,1277,1161,1163
528,1297,1276,1161,1163
529,1297,1276,1161,1163
530,1296,1276,1161,1163
531,1296,1275,1161,1163
532,1295,1275,1161,1163
533,1294,1275,1161,1162
534,1294,1275,1160,1163
535,1293,1275,1160,1163
536,1293,1274,1161,1163
537,1292,1275,1161,1162
538,1292,1275,1161,1162
539,1291,1275,1161,1162
