Time (index),Device 0 - Follower 0,Device 0 - Follower 1,Device 0 - Follower 2,Device 0 - Follower 3
0,1003,1006,1092,1096
1,1003,1006,1092,1096
2,1003,1006,1092,1096
3,1003,1006,1092,1096
4,1004,1006,1092,1097
5,1004,1006,1092,1097
6,1004,1006,1092,1097
7,1004,1005,1092,1097
8,1004,1006,1092,1097
9,1004,1006,1092,1096
10,1004,1006,1092,1096
11,1005,1006,1092,1096
12,1004,1006,1092,1097
13,1004,1006,1092,1096
14,1005,1006,1092,1097
15,1004,1006,1092,1096
16,1004,1006,1092,1097
17,1005,1006,1092,1096
18,1005,1006,1092,1096
19,1005,1006,1092,1097
20,1006,1006,1092,1097
21,1005,1006,1092,1096
22,1005,1007,1092,1098
23,1005,1006,1092,1096
24,1005,1006,1092,1097
25,1005,1006,1092,1096
26,1005,1006,1092,1097
27,1005,1006,1092,1096
28,1005,1006,1092,1097
29,1005,1006,1092,1096
30,1005,1006,1092,1096
31,1005,1007,1092,1097
32,1006,1006,1092,1097
33,1005,1007,1092,1096
34,1006,1007,1092,1096
35,1006,1007,1092,1097
36,1005,1007,1092,1097
37,1005,1006,1092,1096
38,1006,1006,1092,1096
39,1006,1006,1092,1096
40,1006,1006,1092,1096
41,1006,1006,1092,1096
42,1006,1007,1092,1097
43,1006,1006,1092,1096
44,1006,1006,1092,1097
45,1006,1006,1092,1096
46,1006,1007,1092,1096
47,1006,1007,1092,1096
48,1006,1006,1092,1096
49,1006,1007,1092,1096
50,1006,1006,1092,1097
51,1006,1006,1092,1097
52,1006,1007,1092,1096
53,1006,1006,1092,1097
54,1007,1007,1092,1096
55,1006,1006,1092,1097
56,1006,1006,1092,1097
57,1007,1006,1092,1097
58,1006,1006,1092,1097
59,1007,1006,1092,1096
60,1007,1006,1092,1096
61,1006,1006,1092,1097
62,1007,1006,1092,1096
63,1007,1006,1092,1097
64,1006,1006,1092,1096
65,1007,1006,1092,1096
66,1007,1006,1092,1096
67,1007,1006,1092,1096
68,1006,1006,1092,1096
69,1007,1006,1092,1096
70,1007,1006,1092,1096
71,1007,1007,1092,1096
72,1007,1006,1092,1096
73,1007,1006,1092,1096
74,1006,1006,1092,1097
75,1005,1006,1092,1096
76,1005,1006,1092,1097
77,1004,1007,1092,1097
78,1005,1007,1092,1097
79,1005,1007,1092,1096
80,1004,1006,1092,1096
81,1004,1007,1092,1096
82,1004,1006,1092,1097
83,1004,1007,1092,1096
84,1004,1006,1092,1096
85,1004,1007,1092,1097
