Time (index),Device 0 - Follower 0,Device 0 - Follower 1,Device 0 - Follower 2,Device 0 - Follower 3
0,1005,1006,1096,1093
1,1005,1006,1095,1093
2,1006,1006,1095,1093
3,1006,1007,1095,1093
4,1005,1007,1095,1092
5,1005,1006,1095,1093
6,1005,1007,1095,1093
7,1006,1006,1095,1093
8,1005,1007,1095,1093
9,1005,1006,1095,1093
10,1005,1006,1095,1093
11,1006,1007,1095,1092
12,1006,1007,1095,1092
13,1006,1006,1095,1093
14,1006,1007,1095,1093
15,1005,1007,1095,1092
16,1005,1006,1095,1092
17,1005,1007,1095,1092
18,1005,1006,1095,1092
19,1006,1007,1095,1093
20,1005,1007,1095,1092
21,1006,1006,1095,1092
22,1006,1006,1095,1093
23,1006,1006,1095,1093
24,1005,1007,1095,1092
25,1006,1006,1095,1092
26,1005,1006,1095,1092
27,1006,1006,1095,1092
28,1005,1006,1095,1092
29,1005,1006,1094,1092
30,1005,1006,1095,1092
31,1006,1007,1094,1092
32,1005,1007,1094,1092
33,1005,1007,1094,1092
34,1006,1007,1094,1092
35,1006,1007,1094,1092
36,1006,1007,1094,1092
37,1006,1007,1094,1092
38,1006,1006,1094,1092
39,1005,1006,1094,1092
40,1006,1007,1094,1092
41,1006,1007,1094,1092
42,1006,1006,1094,1092
43,1006,1006,1094,1092
44,1006,1007,1094,1092
45,1006,1006,1094,1092
46,1006,1006,1094,1092
47,1006,1007,1094,1092
48,1006,1006,1094,1092
49,1006,1007,1094,1092
50,1005,1005,1094,1092
51,1006,1006,1094,1092
52,1005,1007,1094,1092
53,1006,1006,1094,1092
54,1006,1007,1094,1092
55,1005,1007,1094,1092
56,1006,1007,1094,1092
57,1006,1007,1094,1092
58,1005,1007,1094,1092
59,1005,1007,1094,1092
60,1006,1007,1094,1092
61,1006,1006,1094,1092
62,1006,1007,1094,1092
63,1006,1007,1094,1092
64,1006,1006,1094,1092
65,1005,1006,1094,1092
66,1006,1006,1094,1092
67,1006,1007,1094,1092
68,1005,1007,1094,1092
69,1005,1006,1094,1092
70,1005,1006,1094,1092
71,1006,1007,1094,1092
72,1005,1007,1094,1092
73,1006,1006,1094,1092
74,1006,1007,1094,1092
75,1005,1006,1094,1092
76,1006,1006,1094,1092
77,1006,1007,1094,1092
78,1005,1006,1094,1092
79,1006,1007,1094,1092
80,1006,1006,1094,1092
81,1006,1007,1094,1092
82,1006,1007,1094,1092
83,1005,1007,1094,1092
84,1006,1007,1094,1092
85,1006,1007,1094,1092
86,1005,1006,1094,1092
87,1005,1007,1094,1092
88,1005,1007,1094,1092
89,1005,1006,1094,1092
90,1005,1006,1094,1092
91,1005,1006,1094,1092
92,1005,1006,1094,1092
93,1005,1006,1094,1092
94,1005,1007,1094,1092
95,1005,1006,1094,1093
96,1005,1007,1094,1092
97,1005,1006,1094,1092
98,1005,1007,1094,1092
99,1005,1006,1094,1092
100,1005,1007,1094,1092
101,1005,1006,1094,1092
102,1005,1006,1094,1092
103,1006,1005,1094,1092
104,1005,1005,1094,1092
105,1005,1006,1094,1092
106,1005,1006,1094,1092
107,1005,1006,1094,1092
108,1006,1006,1094,1092
109,1005,1006,1094,1092
110,1005,1006,1094,1092
111,1006,1006,1094,1092
112,1005,1006,1094,1092
113,1005,1007,1094,1092
114,1006,1006,1094,1092
115,1006,1006,1094,1092
116,1005,1006,1094,1092
117,1005,1006,1094,1092
118,1006,1006,1094,1092
119,1005,1006,1094,1092
120,1006,1007,1094,1092
121,1006,1006,1094,1092
122,1006,1006,1094,1092
123,1006,1007,1094,1092
124,1006,1006,1094,1092
125,1006,1006,1094,1092
126,1006,1006,1094,1092
127,1006,1007,1093,1092
128,1006,1006,1094,1092
129,1005,1006,1094,1092
130,1005,1007,1093,1091
131,1005,1007,1094,1092
132,1006,1006,1094,1092
133,1006,1007,1094,1092
134,1006,1006,1093,1092
135,1006,1007,1093,1092
136,1005,1007,1094,1091
137,1006,1007,1094,1092
138,1005,1006,1094,1091
139,1005,1006,1093,1092
140,1005,1007,1094,1092
141,1005,1006,1093,1092
142,1005,1007,1094,1091
143,1006,1007,1093,1092
144,1005,1007,1094,1092
145,1005,1006,1094,1091
146,1006,1007,1094,1091
147,1006,1007,1093,1092
148,1005,1007,1094,1092
149,1006,1007,1093,1091
150,1006,1006,1093,1092
151,1006,1006,1093,1091
152,1005,1006,1093,1091
153,1006,1007,1093,1091
154,1005,1006,1093,1091
155,1006,1007,1093,1092
156,1006,1007,1093,1091
157,1006,1006,1093,1092
158,1005,1007,1093,1092
159,1005,1006,1093,1092
160,1005,1007,1093,1092
161,1006,1006,1093,1092
162,1005,1007,1093,1092
163,1006,1007,1093,1091
164,1005,1006,1093,1091
165,1005,1006,1093,1092
166,1005,1006,1093,1092
167,1005,1006,1093,1091
168,1005,1006,1093,1092
169,1006,1006,1093,1091
170,1006,1006,1093,1091
171,1006,1006,1093,1092
172,1005,1006,1093,1092
173,1006,1007,1094,1091
174,1005,1005,1094,1091
175,1006,1006,1095,1091
176,1006,1006,1094,1091
177,1005,1006,1095,1091
178,1005,1006,1095,1091
179,1005,1006,1094,1092
180,1006,1007,1094,1092
181,1006,1007,1094,1091
182,1006,1006,1094,1091
183,1006,1006,1094,1091
184,1006,1006,1094,1091
185,1006,1007,1093,1091
186,1005,1007,1093,1091
187,1006,1006,1093,1091
188,1005,1006,1093,1091
189,1005,1006,1093,1091
190,1005,1006,1093,1091
191,1005,1006,1093,1091
192,1005,1007,1093,1091
193,1006,1006,1094,1092
194,1006,1006,1094,1091
195,1005,1006,1094,1091
196,1005,1006,1094,1091
197,1006,1006,1095,1091
198,1005,1007,1094,1091
199,1005,1007,1093,1091
200,1005,1007,1094,1091
201,1005,1006,1094,1091
202,1005,1007,1094,1091
203,1006,1005,1094,1091
204,1005,1007,1094,1091
205,1005,1006,1094,1091
206,1005,1006,1093,1091
207,1005,1007,1093,1091
208,1005,1006,1094,1091
209,1005,1006,1094,1091
210,1005,1007,1093,1091
211,1006,1007,1093,1091
212,1006,1006,1094,1091
213,1005,1007,1097,1092
214,1006,1006,1105,1095
215,1005,1007,1120,1102
216,1006,1007,1120,1126
217,1006,1007,1131,1151
218,1006,1006,1163,1171
219,1006,1007,1177,1193
