Time (index),Device 0 - Follower 0,Device 0 - Follower 1,Device 0 - Follower 2,Device 0 - Follower 3
0,979,1015,1090,1097
1,980,1015,1090,1097
2,979,1016,1090,1097
3,980,1016,1089,1097
4,980,1017,1090,1097
5,979,1017,1090,1097
6,979,1017,1090,1097
7,979,1018,1090,1097
8,980,1018,1090,1097
9,980,1018,1090,1097
10,980,1017,1090,1097
11,980,1019,1090,1097
12,980,1018,1089,1097
13,980,1018,1089,1097
14,980,1018,1089,1097
15,980,1018,1090,1097
16,979,1019,1089,1097
17,978,1019,1089,1097
18,978,1019,1089,1097
19,978,1019,1089,1097
20,976,1019,1090,1096
21,976,1019,1089,1097
22,976,1019,1089,1096
23,975,1019,1089,1097
24,976,1011,1089,1097
25,976,1008,1089,1096
26,976,1008,1089,1096
27,975,1009,1089,1097
28,975,1008,1089,1096
29,975,1009,1089,1096
30,975,1009,1089,1096
31,975,1009,1089,1096
32,976,1010,1089,1097
33,976,1010,1089,1097
34,975,1010,1089,1096
35,975,1010,1089,1096
36,976,1010,1089,1096
37,976,1010,1089,1096
38,975,1010,1089,1096
39,975,1010,1089,1096
40,976,1010,1089,1097
41,976,1010,1089,1096
42,976,1011,1089,1096
43,976,1010,1089,1096
44,976,1010,1089,1096
45,975,1010,1089,1096
46,975,1010,1089,1096
47,976,1011,1089,1096
48,975,1011,1089,1096
49,975,1011,1089,1096
50,975,1011,1089,1096
51,975,1011,1089,1096
52,975,1011,1089,1096
53,975,1011,1089,1096
54,975,1012,1089,1096
55,975,1011,1089,1096
56,975,1011,1089,1096
57,975,1012,1089,1096
58,975,1011,1089,1096
59,975,1011,1089,1096
60,975,1012,1089,1096
61,975,1012,1089,1096
62,975,1011,1089,1096
63,976,1011,1089,1096
64,976,1012,1089,1096
65,976,1012,1089,1096
66,976,1012,1089,1096
67,976,1012,1089,1096
68,976,1012,1089,1096
69,976,1011,1089,1096
70,975,1012,1089,1096
71,975,1012,1089,1096
72,975,1012,1089,1096
73,976,1011,1089,1096
74,975,1012,1089,1096
75,975,1012,1089,1096
76,975,1012,1089,1096
77,975,1012,1089,1096
78,976,1012,1089,1096
79,975,1012,1089,1096
80,975,1012,1089,1096
81,976,1012,1089,1096
82,976,1012,1089,1096
83,976,1012,1089,1096
84,976,1013,1089,1096
85,975,1012,1089,1096
86,976,1012,1089,1096
87,975,1011,1089,1096
88,976,1012,1089,1096
89,976,1013,1089,1096
90,976,1013,1089,1096
91,975,1013,1089,1096
92,976,1013,1089,1096
93,976,1013,1089,1096
94,976,1013,1089,1096
95,976,1012,1089,1096
96,976,1012,1089,1096
97,976,1013,1089,1096
98,976,1012,1089,1096
99,976,1012,1089,1096
100,975,1011,1089,1096
101,976,1010,1089,1096
102,975,1011,1089,1096
103,975,1010,1089,1096
104,975,1010,1089,1096
105,975,1010,1089,1096
106,974,1010,1089,1096
107,975,1010,1089,1096
108,975,1009,1089,1096
109,975,1010,1089,1096
110,975,1010,1089,1096
111,975,1010,1089,1096
112,975,1010,1089,1096
113,975,1010,1089,1096
114,975,1010,1089,1096
115,975,1010,1089,1096
116,975,1010,1089,1096
117,976,1010,1089,1096
118,976,1011,1089,1096
119,976,1011,1089,1096
120,976,1010,1089,1096
121,976,1010,1089,1096
122,976,1010,1089,1096
123,975,1010,1089,1096
124,976,1011,1089,1096
125,976,1010,1089,1096
126,976,1011,1089,1096
127,976,1011,1089,1096
128,976,1011,1089,1096
129,976,1011,1089,1096
130,976,1011,1089,1096
131,976,1011,1090,1096
132,976,1011,1091,1096
133,976,1011,1091,1096
134,976,1011,1092,1096
135,977,1011,1092,1096
136,976,1011,1093,1096
137,977,1012,1093,1096
138,977,1012,1093,1095
139,977,1011,1093,1095
140,977,1011,1093,1096
141,977,1011,1093,1096
142,978,1011,1093,1096
143,978,1011,1092,1096
144,978,1011,1091,1096
145,978,1011,1090,1096
146,978,1011,1089,1096
147,978,1011,1089,1095
148,978,1011,1088,1096
149,978,1011,1088,1096
150,978,1010,1089,1096
151,978,1011,1089,1096
152,979,1010,1089,1095
153,979,1010,1088,1096
154,978,1010,1089,1096
155,979,1010,1089,1096
156,979,1010,1089,1096
157,979,1009,1089,1096
158,980,1009,1088,1095
159,979,1009,1089,1095
160,980,1010,1089,1096
161,980,1009,1089,1096
162,980,1009,1088,1096
163,980,1009,1088,1096
164,979,1009,1089,1096
165,977,1009,1089,1096
166,975,1009,1089,1096
167,975,1009,1089,1096
168,974,1009,1089,1096
169,974,1009,1089,1096
170,974,1010,1088,1096
171,975,1009,1088,1096
172,975,1009,1089,1096
173,975,1009,1089,1096
174,974,1009,1089,1096
175,973,1010,1089,1095
176,973,1010,1089,1096
177,973,1010,1089,1095
178,973,1010,1090,1095
179,973,1010,1090,1096
180,974,1010,1091,1096
181,973,1010,1091,1096
182,974,1010,1092,1096
183,974,1010,1091,1096
184,974,1010,1091,1096
185,974,1010,1091,1095
186,974,1011,1091,1096
187,975,1010,1091,1095
188,974,1010,1091,1095
189,975,1010,1091,1095
190,975,1010,1091,1095
191,975,1010,1091,1096
192,975,1010,1091,1096
193,976,1010,1091,1095
194,976,1008,1091,1095
195,976,1010,1091,1095
196,976,1009,1091,1095
197,976,1008,1091,1096
198,976,1008,1091,1095
199,976,1007,1091,1095
200,976,1007,1091,1095
201,977,1007,1091,1095
202,977,1007,1091,1095
203,976,1007,1091,1096
204,977,1007,1091,1096
205,976,1007,1091,1096
206,977,1006,1091,1096
207,977,1006,1091,1096
208,978,1007,1091,1095
209,977,1007,1091,1096
210,978,1007,1091,1096
211,978,1007,1091,1095
212,978,1007,1091,1095
213,978,1007,1091,1095
214,978,1007,1091,1095
215,979,1008,1091,1095
216,979,1007,1091,1095
217,979,1007,1091,1096
218,979,1007,1091,1096
219,979,1007,1091,1096
220,979,1008,1091,1096
221,979,1008,1091,1096
