Time (index),Device 0 - Follower 0,Device 0 - Follower 1,Device 0 - Follower 2,Device 0 - Follower 3
0,985,986,1091,1091
1,986,987,1091,1091
2,986,987,1091,1091
3,986,986,1091,1091
4,986,987,1090,1091
5,986,986,1091,1091
6,986,986,1091,1091
7,985,986,1091,1091
8,986,986,1090,1091
9,985,987,1091,1091
10,985,987,1091,1091
11,986,987,1091,1091
12,984,987,1091,1091
13,985,987,1090,1091
14,985,987,1091,1091
15,985,987,1090,1091
16,985,986,1090,1091
17,984,987,1091,1091
18,984,987,1091,1091
19,984,987,1090,1091
20,983,987,1091,1091
21,984,987,1091,1091
22,984,987,1091,1091
23,984,987,1091,1091
24,984,987,1090,1091
25,983,986,1091,1091
26,984,987,1090,1091
27,983,987,1091,1091
28,983,987,1091,1091
29,984,987,1091,1091
30,983,986,1090,1091
31,984,986,1091,1091
32,984,987,1091,1091
33,984,987,1091,1091
34,984,986,1091,1091
35,984,986,1090,1091
36,984,986,1091,1091
37,984,987,1091,1091
38,984,987,1091,1091
39,985,987,1090,1091
40,984,986,1091,1091
41,984,987,1091,1091
42,985,987,1091,1091
43,984,987,1090,1091
44,985,986,1090,1091
45,985,986,1091,1091
46,984,987,1091,1091
47,985,987,1090,1091
48,985,987,1091,1091
49,984,986,1091,1091
50,985,987,1091,1091
51,985,986,1090,1091
52,985,987,1090,1091
53,985,987,1091,1091
54,985,987,1090,1091
55,985,987,1090,1091
56,984,987,1091,1091
57,984,987,1090,1091
58,984,987,1090,1092
59,983,986,1091,1091
60,983,988,1091,1091
61,983,987,1090,1091
62,983,987,1090,1091
63,983,987,1090,1091
64,983,987,1091,1091
65,983,987,1090,1091
66,982,987,1090,1091
67,982,988,1091,1091
68,983,988,1090,1091
69,982,988,1090,1091
70,982,988,1090,1091
71,982,988,1090,1091
72,982,988,1090,1091
73,982,988,1090,1091
74,982,988,1091,1091
75,982,988,1090,1091
76,982,987,1090,1091
77,983,987,1090,1091
78,982,988,1090,1091
79,982,987,1090,1091
80,982,987,1090,1091
81,982,987,1091,1091
82,982,987,1090,1091
83,982,987,1090,1091
84,982,986,1090,1091
85,982,986,1090,1091
86,982,987,1091,1091
87,982,987,1090,1091
88,982,987,1090,1091
89,982,987,1090,1091
90,982,987,1090,1091
91,982,987,1090,1091
92,982,987,1090,1091
93,982,986,1090,1091
94,982,986,1090,1091
95,982,986,1090,1091
96,981,987,1090,1091
97,981,987,1090,1091
98,981,987,1090,1091
99,981,987,1090,1091
100,982,987,1090,1091
101,981,987,1090,1091
102,981,987,1090,1091
103,981,987,1090,1091
104,981,987,1090,1091
105,980,987,1090,1091
106,981,987,1090,1091
107,981,986,1090,1091
108,980,987,1090,1091
109,981,987,1090,1091
110,981,987,1090,1091
111,981,986,1090,1091
112,980,987,1090,1091
113,980,987,1090,1091
114,981,987,1090,1091
115,981,987,1090,1091
116,980,987,1090,1091
117,981,987,1090,1091
118,981,987,1090,1091
119,981,987,1090,1091
120,981,987,1090,1091
121,980,987,1090,1091
122,981,987,1090,1091
123,981,986,1090,1091
124,981,987,1090,1091
125,981,987,1090,1091
126,981,987,1090,1091
127,982,986,1090,1091
128,981,986,1090,1091
129,981,987,1090,1091
130,981,987,1090,1091
131,981,986,1090,1091
132,981,987,1090,1091
133,981,987,1090,1091
134,981,986,1090,1091
135,981,987,1090,1091
136,981,987,1090,1091
137,981,986,1090,1091
138,981,987,1090,1091
139,981,987,1090,1091
140,981,987,1090,1091
141,981,987,1090,1091
142,982,987,1090,1091
143,981,987,1090,1091
144,981,987,1090,1091
145,981,987,1090,1091
146,981,987,1090,1091
147,981,986,1090,1091
148,981,987,1090,1091
149,981,987,1090,1091
150,981,987,1090,1091
151,981,987,1090,1091
152,981,987,1090,1091
153,981,987,1090,1091
154,980,987,1090,1091
155,981,987,1090,1091
156,981,987,1090,1091
157,981,987,1090,1091
158,981,986,1090,1091
159,981,987,1090,1091
160,981,987,1090,1091
161,981,987,1090,1091
162,981,987,1090,1091
163,981,987,1090,1091
164,980,987,1090,1091
165,980,987,1090,1091
166,981,987,1090,1091
167,981,987,1090,1091
168,981,987,1090,1091
169,981,987,1090,1091
170,981,987,1090,1091
171,981,987,1090,1091
172,981,987,1090,1091
173,981,987,1090,1091
174,981,987,1090,1091
175,981,987,1090,1091
176,981,987,1090,1091
177,982,987,1090,1091
178,981,987,1090,1091
179,981,988,1090,1091
180,981,987,1090,1091
181,981,986,1090,1091
182,981,987,1090,1091
183,981,986,1090,1091
184,981,987,1090,1091
185,981,987,1090,1091
186,981,987,1090,1091
187,981,987,1090,1091
188,981,986,1090,1091
189,981,987,1090,1091
190,981,987,1090,1091
191,980,987,1090,1091
192,981,987,1090,1091
193,981,986,1090,1091
194,981,987,1090,1091
195,981,987,1090,1091
196,980,986,1090,1091
197,981,987,1090,1091
198,981,987,1090,1091
199,981,987,1090,1091
200,981,987,1090,1091
201,981,987,1090,1091
202,981,987,1090,1091
203,981,986,1090,1091
204,981,987,1090,1091
205,981,987,1090,1091
206,981,986,1090,1091
207,981,987,1090,1091
