Condition,Subcondition,Trial,Sensor1 Mean,Sensor2 Mean,
PAP,HAPTICS,1,1206.94,1220.94,
PAP,HAPTICS,2,1142.03,1157.47,
PAP,HAPTICS,3,1196.54,1250.14,
PAP,HAPTICS,4,1189.45,1235.8,
PAP,HAPTICS,5,1160.31,1208.74,
PAP,HAPTICS,6,1148.08,1176.68,
PAP,HAPTICS,7,1176.68,1222.23,
PAP,HAPTICS,8,1140.04,1251.25,
PAP,HAPTICS,9,1195.35,1260.57,
PAP,HAPTICS,10,1208.48,1250.56,
PAP,HAPTICS,OverallMean,1176.39,1223.44,
,,,,,
PAP,NOhaptics,1,1117.96,1125.13,
PAP,NOhaptics,2,1211.39,1250.49,
PAP,NOhaptics,3,1150.8,1172.9,
PAP,NOhaptics,4,x,x,
PAP,NOhaptics,5,1209.05,1257.08,
PAP,NOhaptics,6,1169.35,1220.94,
PAP,NOhaptics,7,1188,1228,
PAP,NOhaptics,8,x,1261.96,angled gripper finger
PAP,NOhaptics,9,1161.06,1202.65,
PAP,NOhaptics,10,1132.07,1143.95,
PAP,NOhaptics,OverallMean,1161.07,1207.01,
,,,,,
PAPObstructed,HAPTICS,1,1132.26,1159.94,
PAPObstructed,HAPTICS,2,1212.33,1263.52,
PAPObstructed,HAPTICS,3,1213.35,1263.97,
PAPObstructed,HAPTICS,4,1215.17,1248.69,
PAPObstructed,HAPTICS,5,1213.86,1263.49,
PAPObstructed,HAPTICS,OverallMean,1197.39,1239.92,
,,,,,
PAPObstructed,NOhaptics,1,1226.62,1246.85,
PAPObstructed,NOhaptics,2,1225.31,1245.22,
PAPObstructed,NOhaptics,3,1217.13,1239.31,
PAPObstructed,NOhaptics,4,1214.16,1244.64,
PAPObstructed,NOhaptics,5,1219.57,1254.63,
PAPObstructed,NOhaptics,OverallMean,1220.56,1246.13,
,,,,,
Camera,HAPTICS,1,1173.6,1171.98,
Camera,HAPTICS,2,1214.84,1252.89,
Camera,HAPTICS,3,1199.76,1252.71,
Camera,HAPTICS,4,1182.42,1232.22,
Camera,HAPTICS,5,1192.4,1236.39,
Camera,HAPTICS,OverallMean,1192.6,1229.24,
,,,,,
Camera,NOhaptics,1,1202.74,1260.43,
Camera,NOhaptics,2,1194.39,1236.23,
Camera,NOhaptics,3,1208.8,1257.02,
Camera,NOhaptics,4,1228.17,1245.33,
Camera,NOhaptics,5,1223.32,1264.8,
Camera,NOhaptics,OverallMean,1211.48,1252.76,
