Time (index),Device 0 - Follower 0,Device 0 - Follower 1,Device 0 - Follower 2,Device 0 - Follower 3
0,996,1004,1095,1095
1,997,1003,1095,1095
2,996,1004,1095,1094
3,997,1004,1095,1094
4,997,1004,1095,1095
5,997,1004,1095,1094
6,997,1003,1095,1094
7,996,1004,1095,1094
8,997,1004,1095,1094
9,997,1004,1095,1094
10,997,1004,1095,1094
11,997,1005,1095,1094
12,997,1004,1095,1094
13,997,1004,1095,1094
14,998,1004,1095,1094
15,997,1003,1095,1094
16,998,1003,1095,1095
17,997,1003,1095,1094
18,998,1003,1095,1094
19,997,1002,1095,1095
20,998,1003,1095,1094
21,998,1003,1095,1094
22,997,1002,1095,1094
23,998,1002,1095,1094
24,997,1003,1095,1094
25,998,1003,1094,1094
26,998,1003,1095,1094
27,998,1002,1095,1094
28,998,1003,1095,1095
29,998,1003,1095,1095
30,998,1003,1095,1095
31,998,1003,1095,1094
32,998,1003,1095,1095
33,999,1003,1095,1094
34,998,1003,1095,1094
35,998,1002,1095,1094
36,999,1003,1095,1094
37,999,1003,1095,1095
38,999,1003,1095,1094
39,999,1004,1095,1094
40,999,1004,1095,1094
41,999,1003,1095,1094
42,999,1004,1095,1094
43,999,1004,1095,1094
44,1000,1004,1095,1094
45,999,1003,1095,1095
46,999,1003,1095,1095
47,999,1003,1095,1094
48,999,1003,1095,1094
49,999,1003,1095,1095
50,999,1003,1095,1095
51,999,1003,1095,1095
52,999,1004,1096,1094
53,999,1004,1096,1095
54,999,1003,1114,1097
55,999,1004,1116,1114
56,999,1004,1116,1120
57,1000,1004,1119,1118
58,1003,1004,1118,1118
59,1052,1004,1118,1118
60,1068,1006,1117,1118
61,1068,1009,1118,1117
62,1069,1015,1117,1117
63,1069,1015,1118,1117
64,1069,1034,1117,1118
65,1069,1044,1117,1107
66,1069,1050,1099,1096
67,1068,1053,1096,1096
68,979,1054,1096,1096
69,1022,1021,1096,1095
70,1026,1016,1096,1095
71,1026,1014,1096,1095
72,1026,1014,1095,1095
73,1025,1014,1096,1095
74,1021,1014,1095,1095
75,1018,1014,1095,1095
76,1013,1014,1095,1095
77,1009,1014,1096,1095
78,1006,1014,1095,1095
79,1005,1014,1095,1095
80,1005,1013,1095,1095
81,1005,1013,1095,1095
82,1005,1011,1095,1095
83,1005,1010,1095,1095
84,1005,1008,1095,1095
85,1005,1005,1095,1095
86,1004,1005,1095,1095
87,1005,1005,1095,1095
88,1005,1004,1095,1095
89,1005,1004,1095,1095
90,1005,1005,1095,1095
91,1005,1005,1095,1094
92,1005,1005,1095,1095
93,1005,1004,1095,1094
94,1005,1004,1095,1094
95,1006,1004,1095,1094
96,1005,1004,1095,1095
97,1006,1004,1095,1095
98,1005,1004,1095,1095
99,1005,1004,1095,1095
100,1006,1004,1095,1095
101,1005,1004,1095,1095
102,1006,1004,1095,1095
103,1006,1004,1095,1095
104,1006,1004,1095,1095
105,1006,1004,1095,1094
106,1006,1004,1095,1094
107,1006,1004,1095,1094
108,1006,1004,1095,1095
109,1006,1004,1095,1094
110,1006,1004,1095,1094
111,1006,1004,1095,1094
112,1006,1004,1095,1095
113,1006,1004,1095,1095
114,1006,1004,1095,1094
115,1006,1004,1095,1094
116,1006,1004,1095,1094
117,1006,1004,1095,1095
118,1006,1004,1095,1094
119,1006,1004,1095,1094
120,1006,1003,1095,1094
121,1006,1004,1095,1095
122,1006,1003,1095,1095
123,1007,1004,1095,1094
124,1007,1003,1095,1095
125,1006,1003,1095,1095
126,1006,1004,1095,1094
127,1006,1003,1095,1094
128,1006,1002,1095,1095
129,1006,1003,1095,1095
130,1006,1003,1095,1094
131,1006,1002,1095,1095
132,1006,1004,1095,1095
133,1006,1003,1095,1095
134,1006,1003,1095,1094
135,1006,1004,1095,1094
136,1006,1003,1095,1094
137,1006,1003,1095,1094
138,1006,1003,1095,1094
139,1006,1003,1095,1095
140,1006,1002,1095,1094
141,1006,1003,1095,1095
142,1006,1003,1095,1094
143,1006,1004,1095,1094
144,1006,1003,1095,1094
145,1005,1003,1095,1094
146,1005,1003,1095,1094
147,1005,1003,1095,1094
148,1006,1004,1095,1095
149,1006,1003,1095,1094
150,1006,1004,1095,1094
151,1005,1004,1095,1094
152,1005,1003,1095,1094
153,1006,1003,1095,1094
154,1006,1003,1095,1094
155,1005,1002,1095,1094
156,1006,1002,1095,1094
157,1006,1002,1095,1094
158,1006,1003,1095,1094
159,1005,1002,1095,1095
160,1005,1002,1095,1094
161,1006,1002,1095,1095
162,1006,1001,1095,1096
163,1005,1001,1095,1095
164,1006,1002,1095,1094
165,1006,1002,1095,1094
166,1005,1002,1095,1094
167,1005,1002,1095,1094
168,1005,1002,1095,1094
169,1006,1002,1095,1094
170,1006,1002,1095,1095
171,1005,1003,1095,1094
172,1006,1003,1095,1094
173,1006,1002,1095,1094
174,1006,1002,1095,1095
