Time (index),Device 0 - Follower 0,Device 0 - Follower 1,Device 0 - Follower 2,Device 0 - Follower 3
0,962,1008,1086,1098
1,961,1009,1086,1098
2,960,1008,1087,1098
3,961,1009,1093,1098
4,961,1009,1097,1098
5,961,1007,1098,1098
6,961,1009,1098,1098
7,961,1009,1099,1098
8,960,1009,1099,1098
9,961,1009,1099,1098
10,961,1009,1099,1098
11,961,1008,1098,1098
12,961,1010,1098,1098
13,962,1009,1098,1098
14,962,1009,1098,1098
15,962,1009,1097,1098
16,962,1009,1097,1098
17,962,1009,1098,1098
18,963,1009,1098,1098
19,963,1009,1097,1098
20,963,1008,1098,1098
21,963,1008,1098,1097
22,964,1009,1097,1097
23,963,1009,1097,1098
24,964,1009,1097,1098
25,964,1009,1097,1098
26,964,1009,1097,1098
27,964,1009,1097,1098
28,964,1009,1097,1098
29,964,1009,1097,1098
30,965,1009,1096,1097
31,964,1009,1097,1098
32,965,1009,1097,1098
33,965,1009,1096,1098
34,965,1009,1096,1098
35,966,1009,1096,1098
36,965,1009,1096,1097
37,965,1008,1096,1098
38,966,1009,1096,1098
39,966,1008,1096,1098
40,967,1009,1095,1098
41,966,1009,1095,1097
42,966,1009,1095,1097
43,966,1008,1095,1098
44,967,1008,1095,1097
45,967,1009,1095,1097
46,967,1009,1095,1098
47,967,1009,1095,1097
48,968,1009,1095,1098
49,967,1008,1095,1098
50,968,1009,1095,1098
51,968,1009,1095,1098
52,968,1009,1095,1097
53,968,1009,1095,1098
54,968,1009,1094,1097
55,969,1009,1094,1098
56,968,1009,1094,1098
57,968,1008,1094,1097
58,969,1008,1094,1097
59,969,1009,1094,1098
60,969,1008,1094,1098
61,970,1008,1094,1098
62,969,1009,1094,1098
63,970,1009,1094,1098
64,970,1009,1093,1098
65,971,1009,1093,1097
66,970,1010,1093,1098
67,970,1009,1093,1097
68,970,1009,1093,1098
69,971,1009,1093,1097
70,971,1009,1093,1098
71,971,1010,1093,1098
72,971,1009,1093,1098
73,971,1009,1092,1098
74,971,1009,1092,1097
75,971,1009,1092,1098
76,971,1009,1092,1097
77,971,1009,1092,1098
78,972,1008,1093,1098
79,972,1009,1092,1098
80,972,1009,1092,1098
81,972,1009,1092,1098
82,972,1009,1092,1097
83,972,1010,1092,1098
84,972,1009,1092,1098
85,972,1009,1092,1098
86,973,1009,1092,1097
87,973,1009,1092,1097
88,973,1009,1092,1098
89,973,1010,1091,1097
90,973,1009,1092,1098
91,973,1009,1091,1098
92,973,1010,1091,1098
93,973,1009,1091,1098
94,974,1009,1091,1098
95,974,1010,1091,1098
96,974,1009,1091,1098
97,974,1009,1091,1097
98,974,1010,1091,1098
99,974,1009,1091,1098
100,974,1009,1090,1098
101,975,1010,1091,1098
102,975,1010,1091,1098
103,975,1010,1091,1098
104,975,1009,1091,1098
105,975,1010,1090,1098
106,975,1009,1090,1098
107,975,1009,1090,1098
108,975,1009,1090,1098
109,976,1010,1090,1098
110,975,1010,1090,1097
111,976,1010,1090,1098
112,976,1010,1090,1098
113,976,1010,1090,1098
114,976,1010,1090,1098
115,977,1010,1090,1098
116,977,1010,1090,1098
117,977,1010,1090,1098
118,976,1009,1090,1098
119,977,1009,1089,1098
120,977,1010,1090,1098
121,977,1009,1089,1098
122,977,1009,1089,1097
123,977,1010,1089,1098
124,977,1010,1089,1098
125,977,1010,1089,1098
126,978,1010,1089,1097
127,978,1010,1089,1098
128,978,1010,1089,1098
129,978,1010,1089,1098
130,978,1009,1089,1098
131,978,1010,1089,1098
132,978,1009,1089,1098
133,978,1010,1088,1098
134,978,1010,1088,1098
135,979,1011,1088,1098
136,979,1009,1088,1098
137,979,1009,1088,1098
138,979,1010,1088,1098
139,978,1010,1088,1098
140,977,1010,1088,1098
141,975,1010,1088,1098
142,973,1010,1088,1098
143,971,1009,1088,1098
144,970,1010,1088,1098
145,970,1010,1088,1098
146,970,1010,1088,1098
147,970,1010,1088,1098
148,970,1009,1088,1098
149,969,1010,1087,1098
150,969,1010,1088,1098
151,969,1010,1087,1098
152,968,1010,1087,1098
153,968,1010,1088,1098
154,967,1010,1087,1098
155,967,1010,1087,1098
156,967,1010,1087,1098
157,967,1010,1087,1098
158,967,1010,1087,1098
159,967,1010,1087,1098
160,966,1010,1087,1098
161,967,1010,1087,1097
162,966,1010,1087,1097
163,966,1010,1087,1098
164,965,1010,1087,1098
165,965,1010,1087,1098
166,964,1010,1087,1098
167,965,1010,1087,1098
168,964,1010,1086,1098
169,964,1010,1087,1098
170,965,1010,1086,1098
171,964,1010,1086,1098
172,964,1010,1086,1098
173,962,1010,1086,1098
174,962,1010,1086,1098
175,961,1010,1086,1098
